MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country, BudgetUSD , US_BoxOfficeUSD , Global_BoxOfficeUSD , Opening_Day_SalesUSD , One_Week_SalesUSD ,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor, Profit ,Profit%,Hit_Flop,Rating_Category
1,Might toward capital,Comedy,2003,28-09-2003,China," $65,77,427.79 "," $66,13,685.82 "," $1,54,72,035.66 "," $17,78,530.85 "," $30,34,053.32 ",6.2,58,7865,10596,Kristina Moore,Brian Mccormick," $88,94,607.87 ",135.23%,Hit,Good Performance
2,He however experience,Comedy,1988,14-02-1988,USA," $18,83,810.10 "," $19,30,949.15 "," $36,37,731.12 "," $2,47,115.74 "," $8,31,828.84 ",5.2,44,1708,220,Benjamin Hudson,Ashley Pena," $17,53,921.02 ",93.10%,flop,Average
3,Star responsibility politics,Comedy,1971,02-11-1971,USA," $24,68,079.29 "," $41,86,694.69 "," $71,65,111.24 "," $8,78,453.95 "," $21,71,405.93 ",5.5,55,4678,7805,Kayla Young,Alexander Haley," $46,97,031.95 ",190.31%,Hit,Average
4,Exactly live,Comedy,1998,06-08-1998,USA," $14,47,311.46 "," $20,23,683.92 "," $43,73,820.26 "," $5,70,657.72 "," $8,98,886.01 ",7.3,87,2467,1751,Michael Ross,Patrick Barnett," $29,26,508.80 ",202.20%,Hit,Good Performance
5,Focus improve especially,Documentary,2021,17-12-2021,India," $9,00,915.86 "," $21,29,629.10 "," $31,13,017.38 "," $3,61,189.37 "," $8,61,775.91 ",6.1,67,5555,697,Faith Franklin,Duane Fletcher DDS," $22,12,101.52 ",245.54%,Hit,Good Performance
6,Deal reveal fine,Drama,1996,09-05-1996,USA," $63,56,058.11 "," $67,90,420.62 "," $1,23,32,192.70 "," $18,77,251.88 "," $36,81,524.22 ",8.9,100,362,229,Thomas Peterson,Carolyn Calhoun," $59,76,134.59 ",94.02%,flop,Excellent Performance
7,Drug when,Comedy,1991,24-09-1991,USA," $3,08,81,640.04 "," $3,55,69,499.73 "," $6,16,33,322.70 "," $57,71,559.63 "," $2,13,05,870.04 ",3.6,39,556,98,Maria Lane,Melissa Cain," $3,07,51,682.66 ",99.58%,flop,Average
8,Almost option of,Horror,1990,04-08-1990,USA," $52,49,748.92 "," $35,69,563.24 "," $60,59,156.85 "," $4,29,972.59 "," $15,13,066.66 ",7.3,75,283,1219,Diane Skinner,Catherine Willis," $8,09,407.93 ",15.42%,flop,Good Performance
9,Film about training,Drama,1983,12-03-1983,USA," $47,46,218.15 "," $63,61,493.82 "," $95,06,139.90 "," $16,12,321.12 "," $29,77,114.88 ",6.9,69,1041,1467,Albert Phillips,Ashley Reeves," $47,59,921.75 ",100.29%,Hit,Good Performance
10,Begin difficult world,Documentary,2005,06-09-2005,USA," $13,54,686.21 "," $38,37,061.91 "," $67,47,065.42 "," $4,40,667.37 "," $20,31,776.94 ",8.4,87,10079,514,Francisco Ford,Richard Miller," $53,92,379.21 ",398.05%,Hit,Excellent Performance
11,Eight,Documentary,1999,17-09-1999,USA," $36,67,201.98 "," $79,45,886.26 "," $1,24,90,413.60 "," $13,60,084.00 "," $40,90,873.55 ",6.7,63,426,456,Mark Brooks,Jacqueline Cooper," $88,23,211.62 ",240.60%,Hit,Good Performance
12,Score by attorney,Comedy,2001,29-06-2001,India," $9,95,578.82 "," $21,20,910.30 "," $37,71,450.73 "," $4,38,402.43 "," $11,80,655.22 ",8.7,86,22577,1782,Robert Webster,Nicholas Richards," $27,75,871.91 ",278.82%,Hit,Excellent Performance
13,Nice piece near,Drama,1984,18-07-1984,USA," $34,74,516.10 "," $19,21,326.86 "," $47,20,393.32 "," $2,64,115.44 "," $8,34,339.97 ",4.4,43,23965,445,Michelle Collins,Paige Gonzalez," $12,45,877.22 ",35.86%,flop,Average
14,Among money,Drama,1967,29-05-1967,USA," $20,03,466.13 "," $28,01,289.00 "," $56,18,102.90 "," $5,38,865.31 "," $15,84,090.22 ",4.6,55,2457,1664,Philip Simmons,Kristy Faulkner," $36,14,636.77 ",180.42%,Hit,Average
15,Purpose miss others show,Action,1963,18-08-1963,USA," $85,01,420.16 "," $62,11,747.19 "," $90,97,154.27 "," $16,23,480.87 "," $29,87,040.85 ",6.5,78,934,1602,Patricia Munoz,Sharon Riley," $5,95,734.11 ",7.01%,flop,Good Performance
16,Similar off,Drama,1983,03-03-1983,USA," $2,56,24,591.73 "," $3,25,69,914.94 "," $6,76,39,926.85 "," $68,39,515.13 "," $1,87,66,598.57 ",5,38,2912,53,Jason Jones,Thomas Hill," $4,20,15,335.12 ",163.96%,Hit,Average
17,Accept past she somebody,Horror,2019,07-04-2019,USA," $2,01,09,873.91 "," $4,53,76,636.88 "," $9,67,10,883.85 "," $47,52,425.69 "," $1,97,05,757.17 ",4.2,36,8691,3326,Mr. Jorge Anderson,Daniel Hughes," $7,66,01,009.94 ",380.91%,Hit,Average
18,Memory blue,Thriller,1963,04-09-1963,USA," $40,36,756.47 "," $89,83,230.19 "," $1,71,72,258.41 "," $16,33,753.84 "," $46,21,801.17 ",8.1,82,24249,50,Mr. Jorge Anderson,Casey Lloyd," $1,31,35,501.94 ",325.40%,Hit,Excellent Performance
19,Sport just score,Drama,2009,23-11-2009,India," $11,84,356.93 "," $14,59,831.77 "," $23,44,529.83 "," $4,35,180.88 "," $6,77,505.19 ",4.2,55,14306,644,Amanda Cantrell,Christopher Hanson," $11,60,172.90 ",97.96%,flop,Average
20,Mrs close hotel,Comedy,2004,05-04-2004,USA," $1,67,57,088.88 "," $1,35,67,813.68 "," $2,69,58,812.72 "," $14,96,912.68 "," $65,50,068.04 ",7.4,80,594,136,Kimberly Barker,Kimberly Ray," $1,02,01,723.84 ",60.88%,flop,Good Performance
21,Agree garden,Romance,2005,23-02-2005,USA," $2,73,022.95 "," $2,26,835.03 "," $4,19,360.89 "," $64,754.05 "," $1,06,243.16 ",7,77,46809,684,Rachel Hayes,Michael Martinez," $1,46,337.94 ",53.60%,flop,Good Performance
22,Short phone sometimes product,Drama,2003,26-08-2003,USA," $20,77,605.68 "," $12,08,808.10 "," $20,77,605.68 "," $1,86,896.30 "," $6,99,624.15 ",5.5,55,27847,6812,Sophia Gomez,Nathan Nelson, $-   ,0.00%,Break_even,Average
23,Identify,Drama,2013,07-10-2013,USA," $28,46,436.28 "," $54,20,815.26 "," $91,72,595.82 "," $12,93,966.86 "," $28,29,319.33 ",5.3,49,2103,490,Robert Webster,Victoria Phillips," $63,26,159.54 ",222.25%,Hit,Average
24,Large over the,Comedy,2014,11-03-2014,India," $1,61,06,357.21 "," $1,08,26,254.71 "," $1,61,06,357.21 "," $31,94,948.01 "," $60,16,765.18 ",6.7,82,7987,296,Colleen Willis,Cody Peters, $-   ,0.00%,Break_even,Good Performance
25,Picture value,Drama,2008,12-08-2008,USA," $97,23,471.21 "," $2,33,59,088.54 "," $4,04,16,194.23 "," $37,05,611.28 "," $94,56,073.51 ",6.6,69,23341,199,Mark Brooks,Tonya Campbell," $3,06,92,723.02 ",315.66%,Hit,Good Performance
26,Seem into beyond,Comedy,1998,12-12-1998,USA," $67,34,151.18 "," $1,39,67,085.26 "," $2,03,71,544.33 "," $32,29,502.73 "," $62,97,509.22 ",5.2,54,1520,1312,Faith Franklin,Melissa Cunningham," $1,36,37,393.15 ",202.51%,Hit,Average
27,Bad side,Drama,1970,16-05-1970,USA," $20,24,799.03 "," $31,20,803.68 "," $45,06,880.52 "," $3,74,038.96 "," $12,56,605.58 ",6.9,93,1446,216,Abigail Robles,Diane Jacobs," $24,82,081.49 ",122.58%,Hit,Good Performance
28,Second,Romance,2007,04-06-2007,USA," $24,69,350.08 "," $12,73,405.22 "," $24,69,350.08 "," $2,56,057.50 "," $7,27,685.16 ",5.6,41,571,58,Robert Webster,Christopher Tucker, $-   ,0.00%,Break_even,Average
29,Character institution good thousand,Sci-Fi,1990,05-06-1990,USA," $34,58,304.82 "," $55,48,990.92 "," $96,44,313.66 "," $7,37,086.51 "," $25,69,995.24 ",9.3,90,4652,1610,Chad Koch,Valerie Dennis," $61,86,008.84 ",178.87%,Hit,Excellent Performance
30,Professor either,Drama,2020,13-06-2020,USA," $12,38,210.99 "," $41,22,230.93 "," $60,59,554.17 "," $11,83,716.03 "," $18,58,052.62 ",8.6,85,7629,404,Jacqueline Briggs,Melissa Mcgee," $48,21,343.18 ",389.38%,Hit,Excellent Performance
31,Model station,Action,1996,21-09-1996,USA," $11,72,141.81 "," $14,82,929.54 "," $22,82,612.88 "," $2,00,603.95 "," $6,80,917.04 ",9.3,80,239,3468,Jerry Owens,Amanda Jenkins," $11,10,471.07 ",94.74%,flop,Excellent Performance
32,Dinner,Action,2019,31-10-2019,USA," $39,13,191.11 "," $68,78,105.93 "," $1,03,33,332.03 "," $20,57,699.07 "," $32,95,543.01 ",5.5,63,2201,1023,Oscar Santos,William Ramirez," $64,20,140.92 ",164.06%,Hit,Average
33,From cold law,Comedy,2013,02-07-2013,USA," $41,71,378.00 "," $66,48,127.90 "," $1,40,91,331.15 "," $15,34,870.98 "," $30,67,624.23 ",5.9,67,1374,50,Megan Sharp,George Green," $99,19,953.15 ",237.81%,Hit,Average
34,Character return,Drama,2021,03-04-2021,USA," $1,07,950.63 "," $3,38,018.02 "," $4,95,980.30 "," $75,865.17 "," $1,64,850.74 ",7.4,74,26678,112,Barbara Torres,Lorraine White DDS," $3,88,029.67 ",359.45%,Hit,Good Performance
35,Draw trade,Drama,2021,15-08-2021,USA," $1,00,000.00 "," $1,15,654.78 "," $1,93,622.56 "," $33,823.66 "," $50,853.38 ",6.7,78,4570,1065,Karen Smith,Thomas Sims," $93,622.56 ",93.62%,flop,Good Performance
36,Exist put simply,Horror,2018,20-11-2018,USA," $24,30,470.62 "," $59,27,177.49 "," $1,20,39,047.95 "," $12,11,567.88 "," $26,10,598.55 ",5.7,56,2839,141,Bryan Murray,Becky Dean," $96,08,577.33 ",395.34%,Hit,Average
37,Region region,Drama,2003,03-08-2003,Australia," $20,94,307.14 "," $50,20,481.93 "," $91,66,273.70 "," $7,38,047.91 "," $20,61,563.72 ",4.9,55,8011,122,David Charles,Danny Kline," $70,71,966.56 ",337.68%,Hit,Average
38,Can shoulder,Thriller,2017,18-02-2017,USA," $6,44,70,180.12 "," $4,66,79,051.80 "," $9,67,68,123.94 "," $60,74,963.37 "," $2,22,18,475.45 ",4.2,27,265,21363,Renee Campbell,Mark Jones," $3,22,97,943.82 ",50.10%,flop,Average
40,Record stay lead,Sci-Fi,2011,17-04-2011,USA," $65,74,229.67 "," $43,84,075.74 "," $96,75,132.29 "," $10,34,644.32 "," $23,39,816.82 ",4.9,57,2630,149,Albert Phillips,Victoria Phillips," $31,00,902.62 ",47.17%,flop,Average
41,Bank government year,Romance,1993,12-04-1993,USA," $11,44,198.37 "," $22,58,528.34 "," $34,04,123.13 "," $5,38,761.77 "," $11,46,165.66 ",4.2,47,4131,9710,Sophia Gomez,Pamela Lopez," $22,59,924.76 ",197.51%,Hit,Average
42,Sing office hair,Sci-Fi,2009,31-05-2009,UK," $13,40,364.37 "," $28,32,081.13 "," $46,92,308.66 "," $7,59,063.94 "," $12,27,524.14 ",8.4,80,3000,73,Michael Richards,Lucas Collins," $33,51,944.29 ",250.08%,Hit,Excellent Performance
43,Head lay,Drama,2015,26-07-2015,USA," $15,56,340.37 "," $43,31,530.19 "," $67,83,887.36 "," $7,75,833.56 "," $19,10,484.32 ",5.9,71,3443,50,Robin Hooper,Jeffrey Smith," $52,27,546.99 ",335.89%,Hit,Average
44,Majority,Horror,2019,08-08-2019,France," $1,81,638.25 "," $4,44,091.30 "," $6,47,412.82 "," $1,15,173.15 "," $2,46,810.43 ",8.2,100,167,61,Hannah Camacho,Jason Mercer," $4,65,774.57 ",256.43%,Hit,Excellent Performance
45,Message bed behind,Drama,2012,25-03-2012,USA," $4,35,309.57 "," $12,86,177.95 "," $21,07,337.11 "," $2,67,419.05 "," $5,91,257.88 ",4.1,42,11862,58,Daniel Brown,Valerie Dennis," $16,72,027.54 ",384.10%,Hit,Average
46,Official possible,Action,2025,17-03-2025,India," $1,61,34,359.03 "," $1,82,54,337.62 "," $3,37,90,208.23 "," $43,86,586.46 "," $86,75,311.25 ",7.1,61,3080,330,Claudia Smith,Ryan Hood," $1,76,55,849.20 ",109.43%,Hit,Good Performance
47,Example center man,Drama,2003,25-05-2003,USA," $37,78,402.22 "," $58,01,682.55 "," $1,43,21,983.04 "," $10,90,064.13 "," $26,04,561.73 ",7.3,78,1304,197,Judy Walker,William Crawford," $1,05,43,580.82 ",279.05%,Hit,Good Performance
